%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82678.919,301.535,0.955,25.061,299.966,296.448,-502.260,-499.652,-497.616,-497.392,-496.773,-500.387,-501.532,-501.873,-499.345,-496.803,-495.243,-501.724,0.314,-496.382,-498.956,-500.350,-5.220,-544.798,-289.718,14.557,32.970,-15.025
82678.919,301.539,0.955,25.065,300.045,296.608,-502.260,-500.878,-498.151,-497.810,-497.421,-501.010,-501.959,-501.445,-500.349,-497.532,-495.137,-502.255,1.047,-495.964,-498.334,-500.688,-5.210,-544.798,-289.718,14.557,33.019,-15.036
82678.919,301.538,0.955,25.065,300.045,296.768,-502.368,-499.317,-498.899,-497.705,-496.665,-500.802,-501.532,-501.123,-498.786,-497.532,-495.137,-501.406,0.419,-496.277,-498.438,-500.350,-5.189,-544.798,-289.718,14.557,32.986,-15.025
82686.982,301.536,0.955,25.057,299.887,296.288,-502.693,-499.763,-497.830,-498.958,-497.529,-500.699,-502.279,-501.766,-499.233,-497.115,-495.770,-502.574,1.047,-497.113,-498.749,-500.350,-5.210,-544.798,-289.718,14.557,33.002,-15.046
82682.951,301.535,0.955,25.057,299.887,296.608,-502.584,-500.209,-497.616,-496.974,-496.882,-499.972,-501.105,-500.909,-498.340,-496.386,-494.399,-501.618,0.733,-495.859,-499.060,-500.576,-5.220,-544.798,-289.718,14.557,32.986,-15.015
82678.919,301.536,0.955,25.061,299.966,296.448,-502.801,-500.655,-498.578,-497.914,-496.451,-501.217,-502.386,-501.016,-500.573,-497.428,-495.243,-502.149,0.419,-496.486,-497.920,-501.364,-5.189,-544.798,-289.718,14.557,32.970,-15.025
82682.951,301.539,0.955,25.061,299.966,296.608,-502.801,-499.986,-498.899,-497.496,-497.206,-500.076,-501.533,-501.123,-499.010,-497.845,-494.926,-501.724,0.838,-496.486,-498.438,-500.125,-5.210,-544.798,-289.718,14.557,33.002,-15.046
82686.982,301.538,0.955,25.057,299.887,296.608,-503.557,-500.432,-498.258,-498.645,-497.746,-501.217,-501.853,-501.766,-500.014,-496.594,-495.981,-501.724,0.733,-496.382,-497.920,-499.900,-5.179,-544.798,-289.718,14.557,32.970,-15.015
82670.857,301.538,0.955,25.059,299.887,296.448,-501.720,-500.209,-497.937,-497.288,-497.314,-499.972,-501.319,-501.016,-499.490,-496.803,-494.926,-502.892,0.628,-496.591,-498.542,-500.238,-5.199,-544.798,-289.718,14.557,33.002,-15.025
82686.982,301.536,0.955,25.050,299.729,296.768,-502.801,-499.206,-498.364,-497.183,-496.451,-500.906,-501.640,-501.123,-498.820,-497.219,-495.032,-501.724,0.105,-497.217,-498.438,-500.801,-5.199,-544.798,-289.718,14.557,32.986,-15.025
82682.951,301.536,0.955,25.061,299.966,296.768,-503.017,-499.429,-498.792,-497.496,-497.422,-500.284,-502.173,-501.337,-498.932,-497.324,-495.246,-501.937,0.628,-496.486,-498.334,-500.463,-5.210,-544.798,-289.718,14.557,32.953,-15.025
82686.982,301.536,0.955,25.053,299.808,296.448,-503.125,-500.321,-498.044,-497.288,-497.098,-500.180,-501.213,-502.087,-498.820,-496.698,-495.035,-501.938,0.524,-496.173,-497.816,-500.350,-5.210,-544.798,-289.718,14.557,32.986,-15.025
