%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83485.198,300.941,0.966,25.044,303.083,296.463,376.115,377.376,380.095,380.894,381.759,377.890,377.719,377.909,378.883,381.304,383.913,376.801,0.838,381.509,379.709,378.559,-6.720,-544.798,-289.718,14.557,23.000,-9.953
83489.230,300.941,0.966,25.041,303.004,296.783,376.115,378.542,379.881,380.581,381.110,377.266,377.077,377.265,379.777,380.051,382.962,377.333,-0.209,382.032,379.813,378.559,-6.699,-544.798,-289.718,14.557,23.000,-9.943
83489.230,300.941,0.966,25.037,302.925,296.623,376.440,378.318,380.473,380.267,381.434,377.682,376.329,377.587,379.889,380.886,383.173,376.163,0.628,380.776,379.709,378.559,-6.699,-544.798,-289.718,14.557,23.000,-9.932
83489.230,300.944,0.966,25.041,303.004,296.623,375.574,377.760,380.366,381.206,381.542,377.474,377.398,376.944,379.330,380.991,382.750,376.801,0.419,381.823,379.709,378.446,-6.699,-544.798,-289.718,14.557,23.000,-9.932
83489.230,300.944,0.966,25.041,303.004,296.463,376.440,377.202,380.044,380.788,380.785,377.786,376.650,377.587,378.547,380.886,382.856,375.950,0.628,380.671,379.502,377.882,-6.709,-544.798,-289.718,14.557,22.984,-9.943
83485.198,300.944,0.966,25.038,302.925,296.623,375.358,377.760,379.081,380.892,381.542,377.369,376.864,377.480,379.665,380.156,382.645,376.695,0.105,381.195,379.917,377.995,-6.699,-544.798,-289.718,14.557,22.984,-9.943
83485.198,300.941,0.966,25.041,303.004,296.623,375.466,377.872,379.723,379.951,381.002,377.993,376.541,377.587,379.218,380.678,382.328,376.588,0.733,380.776,379.917,377.995,-6.678,-544.798,-289.718,14.557,23.000,-9.963
83489.230,300.941,0.966,25.044,303.083,296.463,376.007,377.314,380.366,381.310,381.218,377.785,376.755,376.835,379.106,380.678,383.279,376.801,0.942,381.404,379.502,378.220,-6.720,-544.798,-289.718,14.557,23.000,-9.932
83493.261,300.948,0.967,25.040,303.004,296.943,376.115,377.202,379.723,380.474,381.542,377.577,377.076,376.942,378.549,380.886,382.856,376.482,1.256,381.090,379.190,377.318,-6.699,-544.798,-289.718,14.557,22.984,-9.943
83489.230,300.943,0.966,25.044,303.083,296.463,375.682,377.649,379.509,380.369,381.326,377.473,376.434,377.050,379.556,379.946,383.067,376.376,0.628,381.509,379.813,379.010,-6.699,-544.798,-289.718,14.557,23.033,-9.963
