%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82747.453,301.396,0.956,25.056,300.233,296.239,-455.462,-453.177,-450.913,-450.108,-450.034,-452.965,-453.911,-454.362,-451.940,-449.396,-447.692,-455.111,0.209,-448.950,-451.591,-452.737,-3.950,-544.798,-289.718,14.557,38.204,-14.977
82751.484,301.396,0.956,25.042,299.917,296.719,-454.922,-452.842,-450.592,-450.003,-449.278,-453.588,-454.658,-453.292,-452.498,-449.917,-447.586,-454.792,0.628,-449.577,-451.073,-453.638,-3.950,-544.798,-289.718,14.557,38.188,-14.977
82747.453,301.396,0.956,25.046,299.996,296.559,-455.462,-452.619,-451.447,-450.316,-449.386,-453.381,-454.658,-453.827,-452.163,-451.167,-448.324,-454.792,0.628,-449.890,-451.799,-452.850,-3.950,-544.798,-289.718,14.557,38.188,-14.998
82755.516,301.396,0.957,25.048,300.075,296.239,-456.111,-452.730,-450.592,-450.837,-450.358,-453.381,-454.552,-454.576,-451.717,-450.333,-448.535,-454.580,0.524,-449.159,-451.073,-453.413,-3.950,-544.798,-289.718,14.557,38.188,-14.987
82755.516,301.396,0.957,25.042,299.917,296.079,-454.922,-453.065,-451.233,-449.688,-450.143,-453.069,-454.658,-453.185,-452.386,-449.812,-446.954,-455.536,0.628,-448.845,-450.970,-453.075,-3.940,-544.798,-289.718,14.557,38.204,-14.998
82747.453,301.396,0.956,25.040,299.838,296.559,-455.462,-452.173,-451.340,-450.523,-449.387,-453.691,-454.338,-453.506,-451.828,-450.021,-448.008,-454.368,-0.209,-448.636,-450.762,-453.525,-3.940,-544.798,-289.718,14.557,38.204,-14.977
82755.516,301.393,0.957,25.042,299.917,296.399,-455.246,-452.173,-450.592,-449.897,-449.711,-452.757,-455.086,-454.041,-451.382,-450.021,-448.113,-454.261,0.733,-449.368,-451.281,-452.737,-3.940,-544.798,-289.718,14.557,38.188,-14.998
82759.547,301.393,0.957,25.044,299.996,296.879,-455.895,-452.842,-450.271,-450.941,-450.251,-453.276,-454.125,-454.682,-452.275,-449.708,-447.797,-454.155,0.524,-448.636,-451.177,-452.512,-3.950,-544.798,-289.718,14.557,38.188,-14.987
82759.547,301.394,0.957,25.038,299.838,296.879,-454.814,-452.842,-451.019,-450.315,-449.711,-453.068,-454.125,-453.612,-453.058,-450.229,-447.797,-455.323,0.733,-449.159,-451.073,-453.525,-3.919,-544.798,-289.718,14.557,38.188,-14.998
82759.547,301.393,0.957,25.041,299.917,296.399,-454.922,-451.616,-450.912,-449.688,-449.064,-452.861,-454.018,-453.184,-451.384,-450.438,-447.586,-454.155,0.105,-449.159,-450.970,-453.075,-3.940,-544.798,-289.718,14.557,38.204,-14.998
82759.547,301.393,0.957,25.031,299.680,296.399,-455.462,-452.619,-450.592,-450.732,-449.279,-453.068,-454.338,-453.505,-451.272,-449.291,-447.588,-454.368,1.047,-449.890,-450.866,-452.850,-3.919,-544.798,-289.718,14.557,38.204,-15.008
82759.547,301.394,0.957,25.044,299.996,296.239,-455.246,-452.396,-450.912,-450.106,-450.035,-453.172,-454.658,-454.468,-452.277,-449.500,-447.694,-454.792,-0.105,-448.636,-451.695,-452.850,-3.929,-544.798,-289.718,14.557,38.204,-14.998
82763.579,301.393,0.957,25.040,299.917,296.079,-455.354,-452.730,-451.126,-450.419,-448.956,-453.795,-454.552,-454.254,-452.611,-450.229,-447.588,-454.792,0.419,-449.159,-450.451,-453.751,-3.929,-544.798,-289.718,14.557,38.171,-14.987
82747.453,301.393,0.956,25.040,299.838,296.239,-454.706,-452.173,-450.699,-449.793,-449.064,-452.549,-454.018,-453.933,-450.937,-450.229,-447.694,-454.261,0.524,-448.951,-451.073,-452.512,-3.929,-544.798,-289.718,14.557,38.188,-14.987
82759.547,301.393,0.957,25.041,299.917,296.079,-455.786,-453.065,-450.378,-451.045,-449.603,-453.380,-454.445,-454.147,-451.718,-449.396,-448.326,-454.898,0.419,-449.473,-451.385,-453.188,-3.929,-544.798,-289.718,14.557,38.188,-15.008
82763.579,301.391,0.957,25.054,300.233,296.239,-454.706,-453.733,-451.019,-450.419,-450.035,-453.691,-454.872,-453.505,-451.942,-449.500,-447.694,-455.005,0.524,-449.055,-451.281,-452.963,-3.960,-544.798,-289.718,14.557,38.204,-15.008
82763.579,301.388,0.957,25.040,299.917,295.919,-454.598,-452.396,-450.912,-450.106,-448.524,-453.691,-454.231,-453.612,-451.942,-449.291,-447.799,-453.730,0.209,-448.846,-450.556,-453.413,-3.929,-544.798,-289.718,14.557,38.188,-14.987
82759.547,301.393,0.957,25.041,299.917,295.759,-455.247,-452.396,-450.592,-450.523,-449.495,-452.757,-455.192,-454.254,-451.830,-449.812,-447.483,-454.368,0.838,-449.995,-451.074,-452.625,-3.929,-544.798,-289.718,14.557,38.188,-14.987
82759.547,301.394,0.957,25.041,299.917,295.599,-455.787,-452.842,-450.698,-450.628,-448.848,-452.757,-453.697,-454.361,-452.053,-449.604,-448.432,-454.580,0.838,-449.055,-451.281,-453.638,-3.919,-544.798,-289.718,14.557,38.188,-14.977
82771.641,301.393,0.957,25.042,299.996,295.759,-454.815,-453.065,-450.698,-449.898,-449.603,-452.757,-454.445,-453.612,-451.830,-449.604,-447.272,-455.429,0.628,-448.742,-451.489,-452.737,-3.929,-544.798,-289.718,14.557,38.155,-14.977
82759.547,301.394,0.957,25.041,299.917,295.919,-454.815,-452.173,-451.553,-450.629,-449.387,-453.380,-454.231,-453.291,-450.937,-449.604,-447.588,-454.261,-0.314,-449.160,-450.660,-452.625,-3.940,-544.798,-289.718,14.557,38.188,-14.977
82755.516,301.391,0.957,25.045,299.996,295.919,-455.139,-452.285,-450.377,-450.629,-450.143,-452.757,-454.872,-453.826,-451.272,-449.291,-447.694,-454.261,0.524,-449.995,-450.971,-453.413,-3.940,-544.798,-289.718,14.557,38.171,-14.998
82763.579,301.394,0.957,25.040,299.917,295.759,-455.463,-453.288,-451.339,-449.585,-450.251,-453.483,-454.444,-454.468,-451.942,-449.604,-447.694,-455.005,0.733,-449.369,-451.903,-453.188,-3.940,-544.798,-289.718,14.557,38.188,-14.998
