%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82376.565,301.067,0.953,14.799,104.379,103.921,-1019.457,-1015.327,-1013.650,-1013.251,-1013.215,-1016.522,-1017.832,-1018.325,-1015.133,-1012.756,-1011.918,-1018.230,-0.105,-1012.489,-1014.272,-1016.148,-8.937,-544.798,-289.718,14.557,180.115,-100.201
82376.565,301.067,0.953,14.793,104.300,103.760,-1018.377,-1016.552,-1014.076,-1013.668,-1013.000,-1016.315,-1017.832,-1016.829,-1016.025,-1013.277,-1010.865,-1018.761,0.419,-1012.072,-1014.272,-1016.598,-8.927,-544.798,-289.718,14.557,180.098,-100.211
82384.628,301.067,0.953,14.798,104.379,104.081,-1018.485,-1015.550,-1014.397,-1013.147,-1013.000,-1016.833,-1017.192,-1016.402,-1015.021,-1012.548,-1010.444,-1017.700,-0.418,-1012.176,-1014.169,-1016.935,-8.948,-544.798,-289.718,14.557,180.131,-100.211
82372.534,301.065,0.953,14.794,104.300,103.600,-1018.485,-1015.216,-1013.116,-1013.772,-1012.892,-1016.730,-1018.684,-1016.829,-1015.021,-1012.861,-1010.865,-1017.276,0.733,-1012.385,-1014.065,-1016.261,-8.937,-544.798,-289.718,14.557,180.131,-100.232
82380.596,301.062,0.953,14.787,104.221,103.921,-1019.349,-1015.995,-1013.863,-1013.251,-1013.109,-1016.419,-1018.045,-1018.219,-1015.579,-1012.756,-1011.076,-1018.443,0.314,-1011.968,-1014.376,-1016.823,-8.937,-544.798,-289.718,14.557,180.098,-100.211
82368.502,301.065,0.953,14.788,104.221,103.760,-1018.269,-1016.218,-1014.503,-1013.356,-1012.893,-1016.419,-1017.405,-1016.936,-1016.359,-1012.861,-1010.655,-1018.761,0.209,-1012.176,-1014.065,-1016.261,-8.958,-544.798,-289.718,14.557,180.115,-100.211
82376.565,301.065,0.953,14.799,104.379,103.760,-1018.809,-1015.105,-1014.717,-1013.251,-1012.570,-1016.626,-1018.046,-1017.043,-1015.021,-1013.173,-1010.865,-1017.806,-0.314,-1012.072,-1014.272,-1016.935,-8.958,-544.798,-289.718,14.557,180.115,-100.221
82372.534,301.065,0.953,14.805,104.458,103.440,-1018.269,-1015.439,-1014.076,-1013.460,-1012.678,-1016.833,-1018.153,-1017.258,-1015.579,-1013.173,-1011.076,-1018.443,0.733,-1012.802,-1013.858,-1016.036,-8.937,-544.798,-289.718,14.557,180.115,-100.201
82376.565,301.064,0.953,14.810,104.537,103.600,-1018.701,-1015.884,-1013.650,-1012.939,-1013.217,-1016.211,-1017.833,-1017.899,-1014.914,-1012.756,-1010.655,-1018.655,-0.209,-1012.176,-1014.065,-1016.823,-8.937,-544.798,-289.718,14.557,180.115,-100.221
82372.534,301.064,0.953,14.805,104.458,103.921,-1018.485,-1015.995,-1014.290,-1013.772,-1012.678,-1016.626,-1017.620,-1017.151,-1016.140,-1012.654,-1011.497,-1018.443,0.628,-1011.863,-1014.169,-1017.273,-8.927,-544.798,-289.718,14.557,180.131,-100.211
