%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82005.677,300.765,0.950,15.065,107.788,106.757,-969.369,-966.136,-965.310,-964.600,-963.283,-967.505,-969.019,-968.430,-965.692,-964.476,-961.476,-969.127,0.209,-963.347,-965.122,-967.763,-2.763,-544.798,-289.718,14.557,175.916,-49.994
81993.583,300.764,0.950,15.061,107.708,106.597,-969.693,-966.912,-964.349,-965.642,-963.930,-967.298,-969.552,-968.216,-966.472,-963.643,-962.318,-968.915,0.105,-964.181,-964.915,-967.089,-2.774,-544.798,-289.718,14.557,175.916,-50.024
82005.677,300.765,0.950,15.060,107.708,107.077,-969.154,-966.912,-964.708,-964.808,-964.577,-967.919,-968.592,-968.964,-966.806,-963.851,-962.002,-968.703,0.105,-962.199,-965.225,-967.089,-2.753,-544.798,-289.718,14.557,175.916,-50.014
81997.614,300.764,0.950,15.055,107.629,106.917,-969.261,-967.246,-965.241,-964.389,-964.146,-967.919,-969.019,-968.537,-966.918,-964.060,-962.213,-969.339,0.733,-963.034,-964.915,-967.539,-2.763,-544.798,-289.718,14.557,175.899,-50.014
82001.645,300.765,0.950,15.065,107.788,106.757,-969.477,-966.690,-965.135,-963.972,-963.930,-967.298,-969.125,-968.002,-966.583,-964.476,-961.897,-968.703,0.419,-963.138,-964.708,-967.089,-2.753,-544.798,-289.718,14.557,175.932,-50.014
81997.614,300.764,0.950,15.066,107.788,106.757,-970.233,-966.801,-965.135,-965.743,-964.038,-967.855,-969.338,-968.643,-966.918,-963.851,-962.739,-969.021,0.838,-963.764,-965.328,-967.314,-2.763,-544.798,-289.718,14.557,175.899,-50.035
81997.614,300.764,0.950,15.071,107.867,107.077,-969.693,-967.246,-965.668,-964.493,-964.577,-967.233,-968.911,-968.537,-966.918,-964.268,-961.791,-969.233,-0.418,-962.929,-965.225,-967.426,-2.763,-544.798,-289.718,14.557,175.916,-50.024
81993.583,300.764,0.950,15.066,107.788,106.757,-969.154,-966.578,-964.388,-964.284,-963.175,-968.166,-968.804,-967.787,-966.695,-963.643,-961.476,-968.597,-0.000,-962.929,-965.018,-968.101,-2.763,-544.798,-289.718,14.557,175.883,-50.035
82001.645,300.765,0.950,15.054,107.629,106.597,-969.801,-966.133,-964.815,-964.389,-963.606,-967.544,-969.657,-968.322,-965.761,-964.580,-962.002,-968.703,0.628,-963.138,-964.604,-966.639,-2.753,-544.798,-289.718,14.557,175.899,-50.014
81997.614,300.762,0.950,15.071,107.867,106.757,-969.801,-966.912,-965.455,-964.493,-964.253,-967.751,-968.804,-968.322,-966.541,-963.432,-961.791,-968.597,0.314,-963.451,-965.122,-967.201,-2.774,-544.798,-289.718,14.557,175.916,-50.045
81993.583,300.764,0.950,15.055,107.629,106.757,-968.830,-966.690,-964.921,-964.180,-964.361,-966.922,-968.804,-968.001,-966.541,-964.161,-961.688,-969.552,0.419,-962.929,-965.639,-967.539,-2.763,-544.798,-289.718,14.557,175.883,-50.014
81993.583,300.764,0.950,15.077,107.946,106.757,-970.017,-966.133,-965.241,-964.389,-963.930,-968.373,-969.017,-968.108,-965.761,-963.849,-961.582,-968.811,-0.105,-963.242,-965.328,-967.763,-2.763,-544.798,-289.718,14.557,175.899,-50.024
81997.614,300.767,0.950,15.071,107.867,106.597,-969.585,-966.245,-964.921,-965.222,-963.930,-967.751,-969.444,-968.215,-966.541,-964.369,-962.425,-969.023,0.942,-964.390,-965.639,-966.977,-2.763,-544.798,-289.718,14.557,175.899,-50.014
81989.551,300.765,0.950,15.078,107.946,106.757,-969.801,-966.578,-964.601,-964.493,-964.038,-967.337,-968.698,-969.390,-966.541,-963.953,-962.109,-968.811,0.942,-963.137,-965.225,-967.089,-2.784,-544.798,-289.718,14.557,175.932,-50.024
82001.645,300.767,0.950,15.071,107.867,106.757,-969.261,-966.801,-964.921,-965.118,-963.606,-967.129,-969.017,-968.215,-966.764,-963.536,-961.266,-969.871,0.000,-962.406,-965.226,-967.089,-2.774,-544.798,-289.718,14.557,175.948,-49.994
81993.583,300.764,0.950,15.077,107.946,106.917,-969.369,-966.467,-965.668,-964.805,-963.714,-967.544,-969.017,-968.108,-965.427,-964.161,-962.319,-969.129,-0.418,-962.928,-965.744,-967.089,-2.774,-544.798,-289.718,14.557,175.932,-50.014
81997.614,300.767,0.950,15.077,107.946,106.757,-969.908,-966.801,-964.815,-964.597,-963.930,-967.648,-969.657,-968.215,-966.653,-963.849,-961.898,-968.917,0.628,-963.763,-965.744,-967.314,-2.774,-544.798,-289.718,14.557,175.916,-50.014
81997.614,300.767,0.950,15.082,108.025,107.237,-969.368,-966.800,-965.135,-964.389,-964.146,-967.440,-969.337,-969.176,-966.095,-963.953,-962.109,-968.492,0.105,-963.554,-965.123,-967.426,-2.742,-544.798,-289.718,14.557,175.916,-50.014
81997.614,300.767,0.950,15.082,108.025,106.917,-969.152,-966.800,-965.307,-964.493,-963.606,-967.233,-969.017,-968.322,-966.653,-963.641,-961.582,-969.341,0.000,-963.032,-964.812,-968.101,-2.753,-544.798,-289.718,14.557,175.916,-50.004
81993.583,300.765,0.950,15.066,107.788,106.917,-969.908,-966.243,-965.734,-964.389,-963.606,-967.544,-969.657,-968.108,-966.095,-964.681,-962.109,-969.553,0.524,-963.450,-965.330,-967.201,-2.774,-544.798,-289.718,14.557,175.916,-50.024
81993.583,300.765,0.950,15.077,107.946,106.917,-970.124,-966.688,-965.200,-965.222,-963.605,-967.751,-969.124,-968.535,-966.207,-964.057,-962.530,-969.235,0.105,-964.389,-965.537,-967.314,-2.763,-544.798,-289.718,14.557,175.932,-50.024
81993.583,300.765,0.950,15.072,107.867,106.597,-969.908,-967.134,-964.987,-964.180,-964.576,-967.440,-968.378,-969.069,-966.207,-963.745,-962.003,-969.659,0.209,-963.137,-965.330,-967.988,-2.763,-544.798,-289.718,14.557,175.899,-50.014
81993.583,300.767,0.950,15.077,107.946,106.437,-968.936,-966.911,-965.094,-964.284,-963.282,-967.648,-968.698,-967.787,-966.541,-963.536,-961.477,-968.811,0.419,-963.137,-964.812,-968.101,-2.774,-544.798,-289.718,14.557,175.916,-50.035
81993.583,300.769,0.950,15.077,107.946,106.757,-969.800,-966.688,-965.414,-964.076,-963.497,-967.026,-968.591,-968.108,-965.204,-964.993,-962.214,-969.447,0.419,-963.763,-965.433,-966.977,-2.742,-544.798,-289.718,14.557,175.899,-50.014
81993.583,300.769,0.950,15.083,108.025,106.597,-969.908,-966.577,-964.880,-965.014,-963.497,-967.026,-968.804,-968.322,-966.362,-963.328,-962.846,-968.705,0.419,-963.658,-965.019,-967.201,-2.763,-544.798,-289.718,14.557,175.899,-50.024
81993.583,300.769,0.950,15.077,107.946,106.917,-969.692,-967.356,-964.987,-964.805,-964.360,-967.751,-969.230,-967.894,-966.473,-963.849,-961.477,-969.447,0.314,-963.137,-965.640,-967.089,-2.763,-544.798,-289.718,14.557,175.916,-50.024
81989.551,300.767,0.950,15.072,107.867,106.917,-969.476,-966.354,-964.667,-964.701,-964.144,-968.166,-969.230,-968.215,-966.250,-964.057,-962.003,-968.917,0.314,-963.658,-965.744,-968.550,-2.763,-544.798,-289.718,14.557,175.867,-50.004
82001.645,300.767,0.950,15.082,108.025,107.077,-969.584,-966.354,-965.520,-964.701,-963.821,-967.233,-969.444,-968.001,-966.139,-964.993,-962.109,-969.127,0.628,-963.763,-965.433,-967.539,-2.742,-544.798,-289.718,14.557,175.916,-50.014
81997.614,300.767,0.950,15.071,107.867,106.917,-970.016,-966.688,-965.307,-964.805,-964.252,-967.751,-968.484,-968.856,-966.585,-963.849,-962.214,-969.233,0.524,-963.450,-965.226,-967.089,-2.763,-544.798,-289.718,14.557,175.916,-50.045
82001.645,300.767,0.950,15.082,108.025,107.237,-969.044,-967.245,-965.094,-964.284,-964.360,-967.129,-968.911,-968.535,-966.250,-964.057,-961.898,-969.870,0.105,-962.721,-965.433,-967.201,-2.742,-544.798,-289.718,14.557,175.899,-50.035
82001.645,300.769,0.950,15.077,107.946,106.917,-970.016,-966.132,-965.307,-965.326,-963.821,-967.751,-968.911,-968.535,-966.139,-964.161,-962.003,-969.233,-0.105,-963.034,-965.330,-967.539,-2.742,-544.798,-289.718,14.557,175.932,-50.014
81997.614,300.770,0.950,15.088,108.104,106.597,-969.368,-966.466,-964.987,-965.326,-964.144,-967.648,-969.444,-968.642,-966.362,-964.265,-962.109,-969.658,0.628,-964.286,-964.916,-967.763,-2.763,-544.798,-289.718,14.557,175.899,-50.024
81997.614,300.767,0.950,15.071,107.867,106.917,-970.446,-967.467,-964.880,-965.118,-963.821,-967.855,-968.591,-969.390,-966.696,-963.953,-962.003,-969.233,0.314,-963.138,-965.537,-967.089,-2.753,-544.798,-289.718,14.557,175.883,-50.024
81993.583,300.765,0.950,15.072,107.867,106.757,-969.799,-967.469,-965.627,-964.701,-963.929,-967.855,-968.911,-968.108,-967.142,-964.161,-962.214,-969.552,0.314,-963.138,-965.537,-967.314,-2.774,-544.798,-289.718,14.557,175.899,-50.024
82001.645,300.767,0.950,15.065,107.788,106.757,-969.690,-966.245,-965.734,-964.910,-964.252,-968.270,-968.698,-968.108,-966.027,-965.097,-962.109,-969.339,0.419,-963.242,-965.433,-967.539,-2.753,-544.798,-289.718,14.557,175.899,-50.045
82005.677,300.770,0.950,15.076,107.946,107.077,-969.367,-966.690,-965.094,-965.951,-964.144,-967.233,-969.444,-968.322,-966.139,-963.953,-962.319,-969.021,0.314,-964.599,-965.330,-966.977,-2.763,-544.798,-289.718,14.557,175.883,-50.004
82005.677,300.765,0.950,15.082,108.025,107.237,-969.583,-966.690,-965.414,-964.284,-964.468,-967.544,-968.698,-968.963,-965.916,-963.953,-961.793,-969.552,0.419,-962.512,-965.537,-967.426,-2.774,-544.798,-289.718,14.557,175.932,-50.024
81997.614,300.767,0.950,15.066,107.788,106.917,-969.367,-966.690,-964.773,-964.493,-964.360,-967.855,-969.230,-968.108,-966.919,-963.849,-961.898,-968.597,0.733,-962.616,-965.226,-968.101,-2.763,-544.798,-289.718,14.557,175.916,-50.024
82001.645,300.767,0.950,15.065,107.788,107.077,-969.259,-966.690,-965.734,-964.493,-963.821,-967.544,-968.804,-968.322,-966.139,-964.785,-961.688,-969.127,0.524,-963.555,-965.330,-967.426,-2.774,-544.798,-289.718,14.557,175.916,-50.035
82001.645,300.767,0.950,15.060,107.708,106.917,-970.122,-966.578,-964.987,-965.014,-963.497,-967.026,-968.911,-968.854,-966.585,-963.641,-963.162,-969.445,0.419,-963.451,-965.330,-967.314,-2.784,-544.798,-289.718,14.557,175.883,-50.035
81997.614,300.764,0.950,15.060,107.708,106.757,-969.906,-967.024,-964.880,-963.972,-964.468,-967.544,-969.230,-968.641,-966.139,-964.057,-961.898,-969.658,0.628,-963.242,-966.054,-967.539,-2.774,-544.798,-289.718,14.557,175.899,-50.014
82001.645,300.764,0.950,15.071,107.867,107.077,-970.230,-967.246,-965.414,-964.701,-963.605,-968.270,-968.804,-968.106,-967.031,-964.370,-962.109,-968.915,0.524,-963.347,-965.537,-968.663,-2.763,-544.798,-289.718,14.557,175.916,-50.035
82005.677,300.765,0.950,15.060,107.708,106.917,-969.799,-965.911,-964.773,-964.389,-963.713,-967.440,-969.550,-968.641,-966.362,-964.682,-962.109,-969.127,0.209,-963.764,-965.744,-967.763,-2.774,-544.798,-289.718,14.557,175.916,-50.035
81997.614,300.764,0.950,15.055,107.629,106.917,-970.338,-966.578,-964.987,-965.118,-963.497,-967.337,-967.951,-968.961,-966.696,-963.746,-962.319,-969.127,0.628,-963.451,-965.123,-967.539,-2.763,-544.798,-289.718,14.557,175.916,-50.014
82005.677,300.764,0.950,15.043,107.471,106.917,-969.367,-967.246,-965.094,-964.493,-964.576,-966.715,-968.484,-968.213,-966.473,-964.058,-961.898,-969.764,0.314,-963.138,-965.847,-967.089,-2.763,-544.798,-289.718,14.557,175.883,-50.024
81993.583,300.764,0.950,15.044,107.471,106.757,-969.259,-966.133,-965.520,-964.493,-963.605,-967.751,-969.337,-968.320,-966.585,-964.370,-962.109,-969.021,0.419,-963.451,-965.019,-968.213,-2.753,-544.798,-289.718,14.557,175.883,-50.024
82005.677,300.764,0.950,15.054,107.629,106.757,-969.151,-966.467,-965.094,-964.284,-964.360,-967.233,-969.337,-968.106,-966.362,-964.058,-961.582,-969.233,0.628,-963.868,-965.537,-967.651,-2.763,-544.798,-289.718,14.557,175.916,-50.014
81997.614,300.762,0.950,15.049,107.550,106.597,-970.338,-966.801,-964.880,-965.222,-964.144,-968.062,-969.017,-969.175,-966.696,-963.850,-963.057,-969.552,0.628,-963.555,-965.847,-967.358,-2.784,-544.798,-289.718,14.557,175.932,-50.024
82005.677,300.762,0.950,15.048,107.550,106.597,-969.584,-967.580,-964.880,-964.597,-964.576,-967.855,-969.444,-968.320,-966.919,-963.538,-962.109,-969.976,0.733,-963.034,-965.123,-967.133,-2.763,-544.798,-289.718,14.557,175.883,-50.035
