%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82380.596,301.006,0.953,15.09,108.555,108.293,-992.361,-989.507,-987.825,-987.623,-987.008,-990.199,-991.613,-991.828,-989.163,-986.951,-984.537,-992.14,-0.314,-985.883,-988.506,-990.404,-8.052,-544.798,-289.718,14.557,239.076,-120.014
82372.534,301.007,0.953,15.091,108.555,108.133,-992.253,-989.839,-987.291,-987.31,-986.9,-990.614,-992.039,-991.187,-989.497,-987.055,-984.853,-992.034,0.524,-985.778,-988.092,-991.303,-8.052,-544.798,-289.718,14.557,239.076,-120.014
82380.596,301.014,0.953,15.09,108.555,108.613,-992.685,-988.949,-988.677,-987.102,-986.577,-990.51,-991.932,-991.4,-988.606,-987.471,-984.537,-991.504,0.209,-986.091,-987.782,-990.292,-8.063,-544.798,-289.718,14.557,239.044,-120.014
82376.565,301.011,0.953,15.085,108.476,108.293,-992.685,-989.394,-987.29,-988.142,-986.577,-990.096,-992.039,-991.293,-989.163,-986.638,-985.591,-991.822,0.105,-986.404,-987.575,-989.954,-8.063,-544.798,-289.718,14.557,239.06,-120.014
82384.628,301.014,0.953,15.095,108.634,108.293,-992.361,-990.062,-987.824,-987.1,-987.225,-990.51,-991.826,-991.507,-989.163,-986.534,-984.748,-992.353,0.314,-985.883,-988.61,-990.516,-8.063,-544.798,-289.718,14.557,239.044,-120.024
82376.565,301.007,0.953,15.091,108.555,108.613,-992.146,-989.617,-987.93,-987.309,-986.47,-990.718,-991.399,-991.08,-989.497,-986.846,-984.432,-991.928,-0.105,-985.987,-987.575,-991.079,-8.042,-544.798,-289.718,14.557,239.06,-120.034
82384.628,301.011,0.953,15.09,108.555,108.453,-992.253,-989.394,-987.503,-987.725,-986.578,-990.199,-992.039,-991.08,-988.829,-987.471,-984.643,-991.928,0.105,-986.091,-987.885,-989.617,-8.073,-544.798,-289.718,14.557,239.06,-120.024
82376.565,301.011,0.953,15.091,108.555,108.293,-993.225,-989.172,-987.824,-987.621,-986.578,-989.785,-991.719,-990.971,-989.497,-986.742,-985.38,-992.246,0.105,-986.196,-987.989,-990.292,-8.063,-544.798,-289.718,14.557,239.044,-120.024
82380.596,301.009,0.953,15.085,108.476,108.453,-992.361,-990.396,-987.503,-987.517,-986.47,-990.303,-991.826,-991.078,-989.167,-986.742,-984.748,-992.777,0.314,-986.3,-988.196,-990.292,-8.063,-544.798,-289.718,14.557,239.06,-120.004
82388.659,301.014,0.954,15.079,108.397,108.293,-992.577,-988.838,-988.144,-986.996,-986.147,-990.614,-991.293,-990.971,-989.056,-986.951,-984.959,-992.034,-0.105,-985.883,-988.196,-990.854,-8.073,-544.798,-289.718,14.557,239.06,-120.014
82380.596,301.011,0.953,15.09,108.555,108.133,-992.901,-989.394,-987.61,-988.35,-986.47,-989.888,-992.359,-990.758,-989.279,-986.638,-984.751,-992.034,0.628,-986.613,-988.299,-990.292,-8.073,-544.798,-289.718,14.557,239.06,-120.024
82376.565,301.012,0.953,15.074,108.318,108.453,-992.685,-989.505,-987.717,-986.996,-986.255,-990.199,-992.146,-991.506,-989.056,-986.742,-985.172,-991.823,0.105,-985.778,-988.299,-990.292,-8.094,-544.798,-289.718,14.557,239.044,-120.024
82372.534,301.007,0.953,15.085,108.476,108.293,-992.253,-989.617,-988.464,-987.309,-986.578,-990.407,-991.719,-991.185,-989.836,-986.742,-984.751,-992.354,0,-985.778,-987.989,-990.966,-8.073,-544.798,-289.718,14.557,239.044,-120.014
82380.596,301.007,0.953,15.063,108.16,108.293,-992.038,-988.949,-988.25,-986.579,-986.362,-990.303,-991.932,-990.437,-988.164,-986.846,-984.54,-992.248,0.419,-986.197,-987.782,-990.404,-8.073,-544.798,-289.718,14.557,239.076,-120.024
82384.628,301.009,0.953,15.084,108.476,108.133,-992.469,-988.949,-987.183,-987.83,-986.47,-990.303,-992.039,-990.758,-989.279,-986.742,-984.751,-992.248,0.105,-987.24,-987.371,-990.404,-8.073,-544.798,-289.718,14.557,239.076,-120.014
82380.596,301.006,0.953,15.079,108.397,108.133,-992.253,-989.728,-987.183,-987.517,-986.902,-990.51,-991.399,-990.971,-989.279,-986.534,-984.33,-992.248,0.419,-985.884,-988.406,-989.907,-8.073,-544.798,-289.718,14.557,239.06,-120.024
82380.596,301.007,0.953,15.085,108.476,108.133,-992.363,-989.617,-987.717,-987.621,-987.01,-990.718,-992.146,-991.399,-989.725,-986.951,-984.54,-992.142,0.209,-986.51,-987.888,-991.256,-8.063,-544.798,-289.718,14.557,239.06,-120.014
82376.565,301.009,0.953,15.085,108.476,108.133,-992.471,-989.394,-988.464,-987.517,-986.794,-990.718,-992.359,-991.292,-989.39,-987.783,-984.751,-992.036,0.209,-986.301,-987.578,-990.356,-8.073,-544.798,-289.718,14.557,239.06,-120.004
82380.596,301.009,0.953,15.079,108.397,108.293,-993.226,-989.505,-987.93,-987.725,-986.686,-990.407,-991.932,-991.292,-989.39,-986.43,-985.804,-991.611,0.209,-986.614,-988.302,-990.019,-8.083,-544.798,-289.718,14.557,239.06,-120.024
82376.565,301.007,0.953,15.085,108.476,108.133,-992.579,-990.396,-988.144,-986.892,-987.333,-989.785,-991.932,-990.865,-989.056,-986.846,-984.33,-992.036,-0.314,-985.884,-988.406,-990.019,-8.083,-544.798,-289.718,14.557,239.076,-120.024
82380.596,301.012,0.953,15.074,108.318,108.613,-992.363,-989.06,-987.93,-986.996,-986.578,-991.029,-991.826,-990.758,-990.17,-987.159,-984.646,-992.036,-0.209,-986.093,-987.785,-990.581,-8.052,-544.798,-289.718,14.557,239.093,-120.034
82376.565,301.002,0.953,15.09,108.555,107.812,-992.039,-989.617,-987.29,-987.413,-986.362,-990.407,-992.465,-991.292,-988.944,-987.679,-984.751,-992.566,0.314,-986.614,-987.681,-990.356,-8.063,-544.798,-289.718,14.557,239.06,-120.024
82368.502,301.004,0.953,15.08,108.397,107.972,-993.334,-989.505,-987.503,-987.934,-986.794,-990.303,-991.824,-991.506,-989.279,-986.638,-985.593,-991.505,0.209,-985.884,-988.199,-990.019,-8.052,-544.798,-289.718,14.557,239.093,-120.024
82376.565,301.006,0.953,15.08,108.397,108.133,-992.039,-990.396,-987.717,-987.1,-987.441,-990.096,-992.038,-990.866,-989.167,-986.638,-984.856,-992.46,0.209,-985.78,-988.302,-990.694,-8.063,-544.798,-289.718,14.557,239.06,-120.004
82372.534,301.006,0.953,15.08,108.397,108.133,-992.579,-989.06,-987.93,-987.1,-986.578,-990.51,-991.505,-990.759,-989.279,-986.951,-984.751,-991.505,-0.209,-985.988,-988.302,-991.031,-8.073,-544.798,-289.718,14.557,239.044,-120.024
82368.502,301.006,0.953,15.086,108.476,107.652,-992.147,-988.726,-988.25,-987.309,-987.117,-990.303,-992.57,-990.652,-989.056,-987.055,-984.856,-991.93,0.419,-986.197,-987.992,-990.469,-8.063,-544.798,-289.718,14.557,239.044,-120.024
82376.565,301.007,0.953,15.063,108.16,107.492,-993.118,-988.615,-987.61,-987.621,-986.47,-990.614,-991.718,-992.041,-989.056,-986.534,-985.488,-991.93,0.419,-986.406,-987.888,-990.918,-8.052,-544.798,-289.718,14.557,239.076,-120.024
82364.471,301.006,0.953,15.086,108.476,108.293,-992.363,-990.173,-988.144,-987.309,-986.902,-990.614,-992.038,-990.973,-989.947,-986.742,-984.54,-992.566,-0.314,-986.406,-988.612,-990.694,-8.031,-544.798,-289.718,14.557,239.044,-120.014
82372.534,301.007,0.953,15.08,108.397,107.812,-992.902,-988.726,-988.357,-987.413,-986.686,-990.925,-991.824,-991.187,-988.944,-986.846,-984.646,-992.142,-0.418,-985.675,-987.992,-990.244,-8.042,-544.798,-289.718,14.557,239.076,-119.993
82372.534,301.007,0.953,15.08,108.397,107.972,-992.255,-989.172,-988.037,-988.038,-987.01,-989.992,-992.464,-990.866,-988.833,-986.951,-985.383,-991.823,0,-986.51,-987.888,-990.581,-8.063,-544.798,-289.718,14.557,239.093,-120.024
82364.471,301.004,0.953,15.086,108.476,107.812,-992.363,-988.615,-987.61,-987.517,-987.333,-990.51,-991.611,-991.828,-989.167,-986.326,-985.277,-992.036,0.105,-986.093,-988.611,-990.469,-8.021,-544.798,-289.718,14.557,239.06,-120.014
82380.596,301.002,0.953,15.074,108.318,107.812,-992.363,-990.284,-987.824,-986.996,-986.794,-990.614,-992.357,-991.187,-989.836,-986.43,-985.172,-992.142,0.209,-985.884,-987.783,-990.806,-8.042,-544.798,-289.718,14.557,239.076,-120.014
82372.534,301.007,0.953,15.08,108.397,107.812,-992.147,-988.949,-988.677,-987.621,-986.362,-990.821,-991.611,-991.08,-988.833,-987.575,-984.751,-992.248,-0.105,-986.301,-988.094,-990.132,-8.073,-544.798,-289.718,14.557,239.044,-120.014
82376.565,301.009,0.953,15.085,108.476,107.972,-992.687,-989.617,-987.503,-988.246,-986.902,-990.821,-992.144,-991.187,-989.836,-986.534,-985.383,-992.248,0.733,-986.51,-987.99,-990.244,-8.042,-544.798,-289.718,14.557,239.06,-120.024
82360.439,301.004,0.953,15.097,108.634,107.812,-992.687,-989.617,-987.503,-987.205,-986.578,-990.096,-991.611,-991.293,-988.61,-986.43,-984.435,-992.354,0.105,-985.571,-988.818,-990.356,-8.031,-544.798,-289.718,14.557,239.093,-120.014
82372.534,301.007,0.953,15.074,108.318,107.972,-992.255,-989.617,-987.397,-986.996,-986.794,-990.925,-991.398,-990.973,-989.502,-986.326,-984.646,-991.717,-0.105,-985.988,-987.576,-991.031,-8.052,-544.798,-289.718,14.557,239.044,-120.014
82372.534,300.999,0.953,15.074,108.318,107.812,-992.579,-989.172,-988.25,-987.205,-986.47,-990.096,-991.824,-990.973,-988.944,-987.263,-984.54,-991.399,0.838,-986.093,-987.576,-989.907,-8.042,-544.798,-289.718,14.557,239.076,-120.014
82368.502,301.007,0.953,15.086,108.476,107.812,-993.334,-989.06,-987.824,-987.83,-986.47,-990.554,-991.078,-991.293,-989.502,-986.43,-985.067,-991.717,0.314,-986.093,-988.094,-990.019,-8.021,-544.798,-289.718,14.557,239.076,-120.014
