%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82239.498,298.634,0.959,14.536,101.356,98.909,-551.299,-548.103,-546.214,-545.483,-544.477,-549.151,-550.000,-549.247,-547.562,-545.327,-543.314,-549.477,-0.000,-543.993,-546.418,-548.834,-2.565,-544.798,-289.718,14.557,13.036,-14.989
82251.592,298.635,0.960,14.529,101.277,98.588,-550.867,-547.655,-545.573,-545.378,-544.801,-548.217,-550.107,-549.461,-546.781,-545.640,-542.365,-549.796,0.733,-544.725,-546.729,-548.046,-2.576,-544.798,-289.718,14.557,13.036,-14.999
82243.529,298.638,0.959,14.530,101.277,98.588,-551.407,-547.432,-546.532,-546.005,-544.693,-548.529,-549.039,-549.996,-547.674,-544.910,-543.630,-550.114,0.209,-544.411,-546.625,-548.496,-2.586,-544.798,-289.718,14.557,13.020,-14.979
82255.623,298.637,0.960,14.529,101.277,98.909,-550.218,-548.881,-545.997,-545.794,-544.909,-548.736,-549.252,-548.926,-547.451,-544.806,-542.997,-550.645,0.523,-544.829,-545.796,-548.609,-2.586,-544.798,-289.718,14.557,13.020,-15.020
82255.623,298.637,0.960,14.529,101.277,98.749,-551.083,-547.321,-546.638,-545.376,-544.693,-549.255,-549.573,-548.926,-547.562,-545.223,-542.786,-550.008,-0.000,-544.307,-546.522,-548.496,-2.576,-544.798,-289.718,14.557,13.036,-14.989
82267.717,298.635,0.960,14.528,101.277,98.588,-550.975,-546.986,-546.104,-545.689,-545.125,-548.090,-550.107,-548.605,-546.892,-545.431,-542.786,-550.114,1.047,-544.307,-546.003,-548.384,-2.597,-544.798,-289.718,14.557,13.020,-14.999
82255.623,298.638,0.960,14.523,101.198,98.428,-550.867,-547.878,-545.783,-545.794,-544.370,-548.298,-549.464,-549.568,-547.339,-544.806,-543.419,-549.583,0.209,-544.307,-546.314,-548.384,-2.576,-544.798,-289.718,14.557,13.003,-14.999
82255.623,298.635,0.960,14.540,101.435,98.428,-550.543,-548.435,-545.997,-544.959,-544.801,-548.401,-549.464,-548.710,-547.227,-545.327,-542.576,-550.752,0.314,-544.202,-546.314,-548.609,-2.576,-544.798,-289.718,14.557,13.020,-14.989
82251.592,298.634,0.960,14.524,101.198,98.428,-550.651,-547.544,-546.852,-545.481,-543.938,-549.024,-549.784,-548.603,-546.895,-545.119,-542.786,-549.583,-0.209,-544.620,-546.107,-548.947,-2.597,-544.798,-289.718,14.557,13.036,-15.020
82255.623,298.635,0.960,14.529,101.277,98.588,-550.543,-546.986,-545.890,-545.585,-544.477,-548.090,-550.425,-549.245,-547.453,-545.139,-542.365,-549.690,0.419,-545.143,-546.211,-547.708,-2.586,-544.798,-289.718,14.557,13.036,-14.999
