%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83682.737,301.343,0.967,14.990,108.688,100.848,383.811,386.764,388.025,388.791,389.122,385.225,385.264,385.746,387.838,388.829,390.835,385.004,0.000,389.263,387.863,386.125,-7.323,-544.798,-289.718,14.557,23.062,-11.984
83686.768,301.344,0.967,14.973,108.451,101.328,384.028,386.537,388.346,388.686,389.555,385.744,384.408,384.888,387.615,388.411,391.468,384.578,0.524,389.368,387.551,386.577,-7.282,-544.798,-289.718,14.557,23.045,-11.994
83686.768,301.346,0.967,14.984,108.609,100.848,383.487,385.755,388.128,389.418,389.555,385.952,385.050,385.317,386.944,388.933,390.623,384.685,0.209,389.368,387.759,386.238,-7.313,-544.798,-289.718,14.557,23.078,-11.994
83690.799,301.344,0.968,14.989,108.688,101.008,384.353,385.086,388.342,388.684,389.122,386.056,384.836,385.854,387.167,388.933,391.151,384.046,0.314,389.263,387.448,385.787,-7.323,-544.798,-289.718,14.557,23.045,-11.984
83690.799,301.346,0.968,14.989,108.688,101.168,383.270,385.979,387.593,387.848,389.337,385.536,384.836,385.854,387.727,388.098,390.623,384.578,0.000,389.368,387.240,386.013,-7.303,-544.798,-289.718,14.557,23.062,-11.984
83690.799,301.346,0.968,14.995,108.767,100.848,383.811,385.979,388.235,388.370,389.121,385.845,384.729,385.532,387.503,389.142,390.940,384.578,0.628,388.426,387.448,386.464,-7.292,-544.798,-289.718,14.557,23.029,-11.994
83690.799,301.344,0.968,15.000,108.846,101.328,382.945,385.644,387.486,388.789,388.796,385.741,385.000,384.567,387.391,388.724,390.940,384.898,0.524,389.473,387.551,385.674,-7.313,-544.798,-289.718,14.557,23.078,-12.004
83686.768,301.344,0.967,15.000,108.846,101.328,383.487,384.527,387.914,388.684,389.337,385.221,385.214,385.375,387.167,389.142,391.151,384.472,0.628,389.054,387.967,385.674,-7.313,-544.798,-289.718,14.557,23.045,-12.004
83686.768,301.344,0.967,15.000,108.846,101.488,383.378,385.867,387.165,388.789,389.229,386.053,385.321,385.590,387.617,388.202,391.151,384.791,0.314,389.054,387.551,386.013,-7.292,-544.798,-289.718,14.557,23.062,-11.994
83690.799,301.344,0.968,15.000,108.846,101.328,383.162,385.979,388.235,387.952,389.553,385.845,385.107,385.375,387.282,389.244,390.518,385.004,0.628,388.321,387.448,386.013,-7.303,-544.798,-289.718,14.557,23.062,-11.994
83694.831,301.344,0.968,14.994,108.767,101.328,383.703,385.755,387.700,388.161,388.472,385.845,385.000,384.410,387.953,389.244,390.835,384.259,0.000,389.263,386.825,385.900,-7.303,-544.798,-289.718,14.557,23.045,-12.004
83690.799,301.344,0.968,14.984,108.609,101.168,383.487,385.644,387.593,388.684,389.662,384.597,384.679,385.268,386.499,388.722,390.940,384.898,0.000,389.054,387.448,385.223,-7.303,-544.798,-289.718,14.557,23.078,-12.004
83686.768,301.343,0.967,14.989,108.688,101.168,383.162,386.425,387.593,388.893,388.905,385.741,385.000,385.482,387.617,387.887,390.518,384.578,0.314,389.054,388.174,385.900,-7.313,-544.798,-289.718,14.557,23.078,-12.004
