%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82271.749,301.309,0.951,14.779,103.886,100.871,-1165.336,-1162.020,-1160.386,-1159.945,-1159.067,-1162.755,-1165.240,-1163.641,-1161.816,-1159.930,-1157.149,-1164.807,0.628,-1159.301,-1160.596,-1162.673,-8.989,-544.798,-289.718,14.557,238.911,-35.159
82271.749,301.309,0.951,14.779,103.886,100.551,-1166.092,-1162.350,-1159.853,-1160.258,-1159.390,-1162.652,-1164.174,-1163.855,-1162.485,-1159.306,-1158.623,-1165.019,-0.209,-1158.779,-1160.803,-1163.010,-9.010,-544.798,-289.718,14.557,238.878,-35.159
82283.843,301.310,0.951,14.767,103.728,100.551,-1165.012,-1162.795,-1160.670,-1160.258,-1159.929,-1162.755,-1164.707,-1163.855,-1162.374,-1159.618,-1157.781,-1165.973,0.000,-1158.883,-1160.907,-1163.797,-9.000,-544.798,-289.718,14.557,238.894,-35.159
82283.843,301.310,0.951,14.784,103.965,100.551,-1165.660,-1162.239,-1161.097,-1160.359,-1159.282,-1163.792,-1164.707,-1163.641,-1162.151,-1159.826,-1156.833,-1164.170,-0.627,-1158.466,-1161.010,-1163.797,-9.000,-544.798,-289.718,14.557,238.927,-35.169
82279.811,301.306,0.951,14.778,103.886,100.711,-1165.552,-1162.128,-1160.990,-1160.672,-1159.498,-1162.962,-1165.240,-1164.068,-1162.151,-1159.826,-1157.570,-1164.913,0.314,-1159.196,-1161.527,-1163.123,-8.989,-544.798,-289.718,14.557,238.911,-35.169
82275.780,301.309,0.951,14.779,103.886,100.551,-1166.092,-1161.905,-1160.670,-1159.942,-1159.714,-1162.753,-1164.387,-1164.603,-1161.705,-1159.098,-1157.570,-1165.231,0.314,-1158.257,-1160.803,-1163.348,-8.989,-544.798,-289.718,14.557,238.894,-35.159
82271.749,301.307,0.951,14.779,103.886,100.551,-1165.012,-1163.018,-1161.097,-1160.047,-1159.821,-1163.478,-1164.385,-1164.068,-1163.042,-1159.722,-1157.781,-1165.867,-0.105,-1158.466,-1160.907,-1163.573,-8.979,-544.798,-289.718,14.557,238.894,-35.169
82279.811,301.309,0.951,14.784,103.965,100.391,-1166.092,-1162.239,-1161.417,-1160.463,-1159.714,-1163.789,-1164.705,-1163.960,-1162.151,-1159.098,-1157.359,-1164.594,-0.418,-1158.779,-1160.596,-1163.010,-8.989,-544.798,-289.718,14.557,238.894,-35.159
82275.780,301.310,0.951,14.773,103.807,100.711,-1165.444,-1161.682,-1160.670,-1160.984,-1159.174,-1162.856,-1165.451,-1163.960,-1162.007,-1159.826,-1157.675,-1164.913,0.524,-1159.718,-1160.700,-1163.123,-8.989,-544.798,-289.718,14.557,238.894,-35.148
82279.811,301.310,0.951,14.784,103.965,100.391,-1165.552,-1162.461,-1160.456,-1160.359,-1159.929,-1163.167,-1164.705,-1164.495,-1161.895,-1159.582,-1157.991,-1164.807,-0.105,-1158.466,-1161.010,-1163.348,-9.010,-544.798,-289.718,14.557,238.894,-35.148
