%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82247.560,298.772,0.959,25.100,302.098,295.496,-568.721,-565.157,-563.549,-563.021,-562.591,-565.735,-567.083,-567.119,-564.661,-562.435,-560.393,-567.636,0.419,-561.861,-564.036,-565.720,-4.137,-544.798,-289.718,14.557,13.070,-6.045
82243.529,298.774,0.959,25.101,302.098,295.336,-568.180,-565.603,-563.656,-563.125,-562.483,-566.357,-567.083,-566.477,-565.443,-562.644,-560.815,-567.424,0.524,-561.756,-563.933,-566.846,-4.117,-544.798,-289.718,14.557,13.054,-6.045
82239.498,298.774,0.959,25.101,302.098,295.336,-568.505,-565.380,-564.811,-563.751,-562.483,-566.461,-567.723,-566.798,-564.438,-563.477,-560.393,-567.318,0.314,-562.801,-564.347,-566.171,-4.148,-544.798,-289.718,14.557,13.070,-6.035
82243.529,298.777,0.959,25.098,302.019,295.336,-568.613,-565.269,-563.101,-563.437,-562.699,-566.150,-567.510,-566.691,-564.661,-562.956,-561.237,-568.061,0.419,-563.219,-564.244,-565.495,-4.127,-544.798,-289.718,14.557,13.054,-6.055
82239.498,298.779,0.959,25.108,302.256,295.176,-568.289,-565.492,-562.994,-562.393,-562.828,-566.150,-567.083,-566.584,-564.661,-562.331,-560.288,-567.742,0.000,-562.174,-564.140,-566.283,-4.127,-544.798,-289.718,14.557,13.070,-6.045
82243.529,298.774,0.959,25.104,302.177,295.496,-567.856,-565.603,-563.421,-562.915,-561.965,-566.565,-567.510,-566.370,-564.996,-562.540,-560.499,-567.955,0.733,-561.965,-563.829,-567.409,-4.148,-544.798,-289.718,14.557,13.070,-6.055
82239.498,298.771,0.959,25.108,302.256,295.496,-568.505,-564.823,-564.063,-563.228,-562.396,-566.254,-567.937,-567.226,-564.438,-563.581,-560.393,-567.636,0.524,-562.488,-563.829,-565.495,-4.148,-544.798,-289.718,14.557,13.054,-6.066
82247.560,298.774,0.959,25.107,302.256,295.656,-569.045,-565.826,-563.315,-563.228,-562.181,-566.254,-567.617,-566.477,-564.885,-562.123,-560.920,-567.636,0.628,-563.115,-564.140,-565.833,-4.148,-544.798,-289.718,14.557,13.070,-6.055
82243.529,298.774,0.959,25.104,302.177,295.336,-568.397,-566.049,-564.063,-562.811,-563.152,-566.254,-567.083,-566.691,-565.091,-562.435,-559.444,-567.318,0.105,-561.338,-564.347,-565.833,-4.137,-544.798,-289.718,14.557,13.054,-6.045
82243.529,298.769,0.959,25.104,302.177,295.496,-567.748,-565.046,-563.635,-563.019,-561.749,-566.876,-567.296,-566.798,-565.314,-563.373,-560.815,-567.424,0.419,-562.070,-564.244,-566.959,-4.127,-544.798,-289.718,14.557,13.103,-6.055
82247.560,298.776,0.959,25.107,302.256,295.176,-568.613,-564.823,-563.849,-563.541,-562.504,-565.942,-567.830,-566.584,-564.979,-563.269,-560.166,-567.530,0.838,-562.070,-564.658,-565.383,-4.148,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.772,0.959,25.110,302.335,295.336,-568.613,-565.046,-563.315,-563.228,-562.073,-566.046,-566.656,-566.798,-564.644,-561.602,-560.799,-566.894,0.419,-561.652,-563.518,-565.270,-4.148,-544.798,-289.718,14.557,13.022,-6.045
82247.560,298.776,0.959,25.113,302.414,295.336,-567.424,-565.046,-563.635,-562.289,-562.612,-565.631,-566.976,-567.012,-564.756,-562.331,-560.271,-568.168,0.105,-562.279,-564.140,-565.720,-4.137,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.777,0.959,25.110,302.335,295.656,-568.289,-565.046,-563.956,-563.541,-561.965,-566.773,-566.762,-566.263,-564.644,-562.540,-560.377,-567.213,-0.105,-562.281,-563.518,-565.833,-4.148,-544.798,-289.718,14.557,13.054,-6.066
82247.560,298.774,0.959,25.107,302.256,295.656,-568.180,-565.046,-563.208,-562.915,-561.857,-565.631,-567.296,-566.477,-564.533,-563.269,-560.377,-567.637,0.628,-562.699,-563.831,-565.720,-4.148,-544.798,-289.718,14.557,13.070,-6.086
82239.498,298.776,0.959,25.108,302.256,295.656,-568.829,-565.380,-563.635,-563.541,-562.504,-565.423,-566.762,-567.012,-564.979,-562.748,-561.431,-567.637,0.733,-562.281,-563.935,-565.609,-4.148,-544.798,-289.718,14.557,13.038,-6.055
82251.592,298.774,0.959,25.113,302.414,295.176,-568.379,-566.383,-563.956,-563.019,-562.612,-566.461,-567.403,-566.691,-565.091,-562.435,-559.744,-567.850,0.314,-562.176,-564.246,-566.284,-4.137,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.776,0.959,25.117,302.493,295.816,-568.271,-564.711,-564.383,-563.228,-562.289,-566.876,-567.296,-566.156,-565.537,-563.061,-560.693,-567.213,-0.209,-561.967,-564.039,-566.172,-4.148,-544.798,-289.718,14.557,13.038,-6.066
82251.592,298.776,0.959,25.113,302.414,295.816,-568.163,-565.380,-562.994,-563.019,-562.828,-566.046,-568.257,-566.691,-564.756,-562.956,-560.588,-567.637,0.733,-562.803,-564.453,-566.059,-4.148,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.776,0.959,25.113,302.414,295.656,-569.027,-565.714,-563.742,-563.437,-563.152,-566.565,-567.403,-567.333,-564.979,-562.435,-560.588,-567.531,0.209,-561.863,-564.453,-565.947,-4.127,-544.798,-289.718,14.557,13.054,-6.066
82251.592,298.772,0.959,25.113,302.414,295.496,-567.298,-565.826,-563.635,-563.019,-562.936,-566.357,-567.190,-566.370,-565.872,-563.269,-560.482,-568.381,0.628,-561.654,-564.350,-566.284,-4.158,-544.798,-289.718,14.557,13.054,-6.055
82255.623,298.777,0.959,25.122,302.651,295.976,-568.163,-565.380,-565.025,-563.855,-562.828,-566.773,-567.403,-567.226,-564.979,-563.373,-560.799,-567.319,-0.209,-562.072,-563.831,-566.284,-4.190,-544.798,-289.718,14.557,13.038,-6.055
82251.592,298.777,0.959,25.119,302.572,295.816,-568.163,-565.046,-563.315,-563.959,-562.612,-565.631,-568.151,-567.333,-565.203,-562.540,-560.588,-567.213,0.523,-562.803,-563.417,-566.172,-4.158,-544.798,-289.718,14.557,13.038,-6.066
82255.623,298.776,0.959,25.115,302.493,295.816,-568.703,-565.714,-563.849,-562.811,-563.260,-566.046,-567.190,-566.798,-564.868,-562.019,-560.588,-567.637,0.838,-561.967,-564.764,-566.172,-4.158,-544.798,-289.718,14.557,13.070,-6.066
82259.655,298.779,0.959,25.112,302.414,295.656,-568.595,-565.826,-564.170,-562.915,-562.181,-566.565,-566.762,-566.049,-565.649,-562.956,-560.271,-567.744,0.209,-561.967,-564.246,-566.622,-4.158,-544.798,-289.718,14.557,13.054,-6.066
82243.529,298.777,0.959,25.121,302.572,295.496,-569.244,-565.492,-564.704,-563.228,-561.857,-565.839,-566.976,-566.584,-564.533,-563.373,-560.693,-567.000,-0.105,-562.385,-563.831,-565.384,-4.158,-544.798,-289.718,14.557,13.070,-6.055
82255.623,298.777,0.959,25.119,302.572,295.496,-568.271,-565.046,-563.315,-563.646,-562.073,-565.735,-567.190,-566.691,-564.421,-561.914,-561.325,-567.531,0.523,-562.072,-563.728,-565.947,-4.148,-544.798,-289.718,14.557,13.070,-6.045
82247.560,298.776,0.959,25.123,302.651,295.496,-568.054,-565.937,-563.528,-562.602,-562.720,-565.735,-566.762,-567.119,-565.203,-562.331,-560.165,-567.637,0.733,-561.758,-564.350,-565.947,-4.137,-544.798,-289.718,14.557,13.070,-6.045
82243.529,298.777,0.959,25.117,302.493,295.656,-568.054,-565.492,-563.956,-563.228,-562.289,-566.565,-567.617,-566.905,-565.091,-562.956,-560.376,-567.213,0.209,-561.863,-563.313,-566.622,-4.148,-544.798,-289.718,14.557,13.038,-6.066
82235.466,298.777,0.959,25.128,302.730,295.496,-567.946,-565.269,-563.635,-563.333,-562.504,-565.631,-567.937,-566.691,-564.533,-563.165,-560.692,-567.319,0.419,-561.966,-564.453,-566.059,-4.137,-544.798,-289.718,14.557,13.038,-6.055
82251.592,298.776,0.959,25.126,302.730,295.656,-569.135,-565.157,-563.315,-563.646,-562.396,-565.942,-566.656,-567.012,-564.533,-562.123,-560.692,-567.319,0.733,-561.966,-564.039,-565.609,-4.148,-544.798,-289.718,14.557,13.070,-6.035
82259.655,298.774,0.959,25.121,302.651,295.816,-567.622,-566.049,-563.635,-563.124,-562.612,-565.942,-567.190,-566.477,-564.979,-562.644,-559.848,-567.850,0.419,-561.966,-564.868,-566.059,-4.127,-544.798,-289.718,14.557,13.038,-6.055
82247.560,298.774,0.959,25.123,302.651,295.496,-568.596,-565.157,-563.849,-562.915,-562.504,-566.773,-567.190,-566.691,-565.537,-563.477,-560.903,-567.850,0.209,-562.280,-563.831,-566.960,-4.148,-544.798,-289.718,14.557,13.070,-6.045
82251.592,298.777,0.959,25.126,302.730,295.496,-568.704,-564.823,-563.849,-562.915,-562.396,-565.942,-567.937,-566.691,-564.979,-563.373,-560.376,-567.637,0.733,-562.175,-564.246,-565.271,-4.137,-544.798,-289.718,14.557,13.070,-6.045
82251.592,298.777,0.959,25.129,302.809,295.496,-569.137,-565.157,-563.956,-563.124,-562.720,-566.254,-566.869,-567.012,-565.203,-562.019,-560.903,-567.319,0.628,-562.071,-563.728,-565.834,-4.127,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.779,0.959,25.123,302.651,295.656,-568.380,-566.160,-563.742,-562.812,-563.044,-566.357,-567.190,-566.798,-565.314,-562.748,-560.059,-568.168,0.419,-561.862,-563.728,-565.721,-4.127,-544.798,-289.718,14.557,13.054,-6.055
82251.592,298.779,0.959,25.123,302.651,295.816,-568.056,-564.488,-564.063,-563.334,-562.613,-566.461,-567.083,-566.263,-564.644,-562.852,-560.692,-567.850,0.105,-563.011,-563.831,-566.735,-4.117,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.777,0.959,25.130,302.809,295.976,-568.920,-565.269,-563.315,-563.647,-562.613,-566.357,-568.151,-566.798,-565.314,-562.956,-560.692,-567.850,0.419,-563.011,-563.935,-566.059,-4.148,-544.798,-289.718,14.557,13.054,-6.055
82243.529,298.774,0.959,25.134,302.888,295.976,-569.029,-565.603,-563.528,-562.394,-562.505,-566.046,-566.442,-567.226,-564.533,-561.810,-560.587,-567.106,0.733,-561.653,-564.142,-566.509,-4.137,-544.798,-289.718,14.557,13.070,-6.055
82235.466,298.777,0.959,25.128,302.730,295.976,-567.948,-565.937,-563.956,-563.543,-562.721,-566.876,-567.403,-567.440,-565.537,-563.165,-560.798,-567.850,0.733,-561.653,-563.728,-565.947,-4.127,-544.798,-289.718,14.557,13.054,-6.045
82243.529,298.776,0.959,25.124,302.651,295.656,-568.488,-565.046,-564.490,-562.707,-562.074,-566.046,-566.976,-566.049,-564.421,-562.956,-560.376,-566.894,-0.209,-561.653,-563.728,-566.059,-4.127,-544.798,-289.718,14.557,13.054,-6.055
82247.560,298.777,0.959,25.123,302.651,295.816,-568.704,-565.492,-562.994,-563.543,-562.182,-565.942,-567.296,-566.798,-564.198,-562.644,-560.481,-567.531,0.733,-562.802,-563.728,-566.172,-4.148,-544.798,-289.718,14.557,13.054,-6.035
82247.560,298.779,0.959,25.123,302.651,295.496,-568.596,-565.269,-562.887,-562.603,-562.505,-566.046,-567.296,-567.547,-565.314,-562.331,-560.798,-567.213,0.314,-562.071,-564.453,-565.947,-4.137,-544.798,-289.718,14.557,13.038,-6.055
82243.529,298.779,0.959,25.127,302.730,295.816,-567.731,-565.492,-563.315,-562.812,-562.505,-566.980,-567.723,-567.119,-565.537,-563.373,-560.587,-568.063,0.419,-561.966,-563.417,-566.622,-4.117,-544.798,-289.718,14.557,13.054,-6.055
82231.435,298.777,0.959,25.129,302.730,295.816,-568.596,-565.157,-564.277,-563.125,-562.505,-566.461,-568.044,-567.012,-564.756,-563.686,-560.798,-567.320,0.314,-562.489,-564.142,-566.284,-4.148,-544.798,-289.718,14.557,13.038,-6.045
82243.529,298.780,0.959,25.134,302.888,295.656,-568.704,-566.049,-563.956,-564.482,-562.937,-566.254,-567.723,-566.905,-564.533,-562.540,-560.798,-567.532,0.524,-562.698,-563.624,-565.609,-4.148,-544.798,-289.718,14.557,13.054,-6.076
82243.529,298.779,0.959,25.131,302.809,295.656,-568.056,-565.603,-563.421,-562.812,-563.369,-566.150,-566.869,-567.012,-564.756,-562.019,-559.954,-567.957,-0.105,-561.444,-564.350,-565.834,-4.127,-544.798,-289.718,14.557,13.054,-6.066
82239.498,298.782,0.959,25.125,302.651,295.816,-568.380,-565.492,-564.170,-563.125,-561.858,-566.461,-567.830,-566.477,-565.649,-562.956,-560.059,-567.426,0.105,-562.071,-563.831,-566.735,-4.137,-544.798,-289.718,14.557,13.038,-6.055
82235.466,298.779,0.959,25.132,302.809,295.656,-568.054,-564.154,-563.315,-562.707,-561.642,-565.839,-567.723,-566.691,-564.421,-563.373,-560.798,-567.320,0.105,-562.384,-564.350,-565.384,-4.117,-544.798,-289.718,14.557,13.038,-6.055
82243.529,298.779,0.959,25.124,302.651,295.816,-569.135,-565.713,-563.421,-562.916,-562.398,-565.527,-566.762,-566.691,-564.756,-561.706,-560.376,-567.957,0.419,-562.071,-564.039,-566.284,-4.127,-544.798,-289.718,14.557,13.054,-6.045
82283.843,298.779,0.959,25.124,302.809,295.976,-567.838,-565.825,-564.277,-563.334,-562.937,-566.461,-567.617,-567.440,-565.761,-563.061,-560.692,-568.594,0.628,-562.280,-564.453,-565.947,-4.127,-544.798,-289.718,14.557,13.038,-6.045
82243.529,298.777,0.959,25.127,302.730,295.656,-568.379,-565.044,-563.956,-563.334,-561.858,-566.669,-567.617,-566.477,-564.979,-563.165,-560.692,-567.320,0.000,-562.280,-563.624,-566.622,-4.137,-544.798,-289.718,14.557,13.054,-6.055
82243.529,298.777,0.959,25.117,302.493,295.656,-568.595,-564.487,-563.742,-563.543,-562.720,-566.254,-567.937,-566.584,-564.533,-563.373,-560.798,-567.214,0.524,-561.757,-563.521,-565.834,-4.148,-544.798,-289.718,14.557,13.054,-6.045
82231.435,298.779,0.959,25.129,302.730,295.656,-569.244,-565.379,-563.635,-563.229,-562.612,-566.460,-567.190,-567.868,-564.979,-562.748,-561.219,-568.382,0.733,-562.384,-564.453,-566.059,-4.148,-544.798,-289.718,14.557,13.054,-6.045
82239.498,298.777,0.959,25.125,302.651,295.496,-568.271,-566.382,-563.742,-563.229,-562.289,-566.253,-566.869,-565.835,-565.203,-562.644,-560.165,-567.638,0.419,-561.444,-563.728,-566.059,-4.148,-544.798,-289.718,14.557,13.038,-6.055
82239.498,298.779,0.959,25.121,302.572,295.816,-568.163,-564.933,-564.170,-563.229,-562.504,-566.875,-566.442,-566.798,-564.533,-562.435,-560.692,-567.426,0.419,-562.175,-564.246,-566.284,-4.137,-544.798,-289.718,14.557,13.038,-6.076
82243.529,298.777,0.959,25.121,302.572,295.656,-568.703,-565.044,-563.956,-563.647,-563.044,-566.045,-567.830,-566.691,-564.756,-562.748,-560.165,-566.895,0.942,-562.593,-564.350,-565.721,-4.127,-544.798,-289.718,14.557,13.070,-6.045
82247.560,298.780,0.959,25.127,302.730,295.656,-569.027,-565.713,-563.742,-563.334,-563.044,-566.253,-566.976,-567.440,-564.533,-562.643,-560.376,-567.638,0.419,-562.384,-564.142,-565.947,-4.148,-544.798,-289.718,14.557,13.054,-6.045
