%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82731.327,301.564,0.956,24.985,298.305,294.180,-506.803,-504.002,-501.894,-502.016,-500.879,-504.438,-506.553,-505.835,-503.731,-501.494,-499.990,-506.612,0.942,-501.609,-503.105,-504.518,-1.857,-544.798,-289.718,14.557,33.136,-7.980
82731.327,301.565,0.956,24.988,298.384,294.020,-508.208,-505.227,-502.963,-502.121,-501.850,-504.645,-505.806,-506.049,-503.508,-501.390,-499.779,-506.293,0.105,-500.250,-503.002,-504.631,-1.857,-544.798,-289.718,14.557,33.168,-7.980
82731.327,301.564,0.956,24.982,298.226,293.700,-506.587,-504.669,-502.642,-501.599,-500.771,-504.749,-506.126,-505.835,-504.290,-501.703,-499.569,-506.612,0.314,-500.982,-502.691,-505.644,-1.868,-544.798,-289.718,14.557,33.119,-7.980
82727.296,301.567,0.956,24.989,298.384,293.860,-507.775,-504.335,-503.710,-502.718,-501.634,-505.579,-506.340,-505.942,-503.173,-502.953,-500.096,-506.081,0.628,-501.295,-502.587,-504.631,-1.857,-544.798,-289.718,14.557,33.168,-7.970
82731.327,301.567,0.956,24.962,297.752,293.700,-507.451,-503.332,-502.428,-502.300,-501.418,-504.853,-506.020,-505.835,-503.285,-501.286,-500.307,-506.718,0.314,-501.504,-503.002,-504.068,-1.836,-544.798,-289.718,14.557,33.168,-7.959
82739.390,301.567,0.956,24.977,298.147,293.540,-506.803,-504.558,-503.069,-501.987,-502.066,-505.578,-505.913,-505.835,-504.066,-501.390,-499.569,-507.037,0.105,-500.982,-503.313,-505.194,-1.847,-544.798,-289.718,14.557,33.119,-7.970
82727.296,301.564,0.956,24.986,298.305,293.700,-507.019,-503.889,-502.855,-501.674,-500.663,-505.059,-505.806,-505.514,-504.401,-501.911,-499.569,-506.081,0.105,-501.400,-502.898,-505.532,-1.847,-544.798,-289.718,14.557,33.185,-7.970
82731.327,301.565,0.956,24.985,298.305,293.700,-507.992,-504.224,-502.855,-502.613,-501.526,-504.748,-506.767,-505.942,-504.066,-502.328,-499.569,-505.975,0.838,-501.086,-503.105,-504.744,-1.847,-544.798,-289.718,14.557,33.152,-7.980
82731.327,301.565,0.956,24.985,298.305,293.700,-507.884,-504.224,-502.962,-502.196,-501.094,-504.540,-506.020,-506.049,-503.287,-501.078,-499.779,-506.293,0.209,-500.773,-503.416,-504.518,-1.868,-544.798,-289.718,14.557,33.152,-7.970
82735.359,301.567,0.956,24.984,298.305,293.860,-506.262,-505.561,-502.962,-501.778,-502.390,-504.955,-506.447,-505.300,-504.068,-501.702,-499.885,-506.824,0.524,-500.564,-503.209,-504.969,-1.847,-544.798,-289.718,14.557,33.185,-7.990
