%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82384.628,300.648,0.955,15.131,109.283,106.397,-409.475,-405.978,-405.225,-404.336,-403.177,-407.090,-408.629,-407.868,-405.341,-404.436,-401.607,-408.232,0.419,-403.554,-404.631,-406.306,-6.511,-544.798,-289.718,14.557,12.956,-20.044
82388.659,300.649,0.955,15.120,109.125,106.557,-410.015,-406.868,-404.476,-404.336,-403.393,-407.298,-408.095,-407.440,-405.341,-403.186,-402.240,-408.550,0.419,-404.076,-405.046,-406.644,-6.490,-544.798,-289.718,14.557,12.939,-20.034
82384.628,300.649,0.955,15.126,109.204,106.557,-408.718,-406.868,-404.902,-404.127,-403.932,-407.505,-407.668,-408.403,-405.788,-404.019,-401.291,-409.187,-0.105,-402.927,-405.564,-407.319,-6.490,-544.798,-289.718,14.557,12.956,-20.054
82380.596,300.649,0.955,15.104,108.888,106.877,-408.826,-406.645,-405.223,-404.126,-403.069,-408.439,-408.202,-407.440,-406.234,-404.019,-401.607,-408.444,0.314,-403.345,-404.942,-407.995,-6.480,-544.798,-289.718,14.557,12.939,-20.064
82384.628,300.649,0.955,15.131,109.283,106.557,-409.367,-405.864,-405.116,-403.709,-403.285,-407.920,-408.202,-407.868,-405.341,-404.853,-401.607,-408.338,0.314,-403.345,-405.149,-406.644,-6.490,-544.798,-289.718,14.557,12.907,-20.054
82380.596,300.651,0.955,15.121,109.125,106.717,-410.231,-406.645,-404.368,-404.753,-403.393,-406.423,-408.309,-407.868,-405.788,-403.602,-402.029,-408.019,0.523,-404.076,-405.253,-406.982,-6.501,-544.798,-289.718,14.557,12.956,-20.064
82380.596,300.649,0.955,15.121,109.125,106.877,-408.610,-406.533,-405.009,-404.126,-404.148,-406.942,-408.308,-408.617,-405.899,-404.019,-401.713,-408.975,-0.000,-403.345,-405.564,-406.869,-6.480,-544.798,-289.718,14.557,12.956,-20.054
82380.596,300.648,0.955,15.126,109.204,106.557,-408.718,-406.310,-405.009,-404.231,-403.609,-407.772,-408.415,-407.546,-406.234,-403.498,-401.396,-408.444,0.419,-403.241,-404.942,-407.657,-6.511,-544.798,-289.718,14.557,12.956,-20.054
82392.690,300.651,0.955,15.114,109.046,106.717,-409.259,-405.976,-405.437,-403.604,-403.824,-407.357,-408.201,-407.546,-405.119,-404.645,-401.291,-408.656,0.523,-404.076,-404.838,-406.419,-6.511,-544.798,-289.718,14.557,12.956,-20.064
82376.565,300.651,0.955,15.116,109.046,106.717,-410.015,-406.868,-404.689,-404.753,-403.501,-407.150,-408.095,-407.761,-405.900,-403.079,-402.451,-408.656,1.152,-403.867,-404.942,-406.869,-6.480,-544.798,-289.718,14.557,12.939,-20.064
82384.628,300.651,0.955,15.109,108.967,106.557,-408.610,-406.868,-404.475,-404.022,-403.609,-407.253,-408.308,-407.868,-406.347,-403.600,-401.185,-409.081,0.419,-402.823,-405.253,-407.094,-6.490,-544.798,-289.718,14.557,12.956,-20.064
82384.628,300.648,0.955,15.126,109.204,106.557,-409.151,-406.310,-405.009,-404.231,-402.853,-407.876,-408.095,-407.654,-406.123,-404.017,-401.502,-408.125,0.419,-403.032,-404.838,-407.770,-6.490,-544.798,-289.718,14.557,12.956,-20.054
82396.722,300.651,0.955,15.119,109.125,106.717,-409.691,-405.976,-405.544,-403.917,-403.716,-407.461,-408.735,-407.546,-405.230,-404.955,-401.502,-408.019,0.628,-403.659,-405.149,-406.419,-6.490,-544.798,-289.718,14.557,12.972,-20.044
82392.690,300.653,0.955,15.114,109.046,106.717,-409.907,-406.422,-404.582,-404.126,-403.393,-407.046,-408.095,-407.868,-405.789,-403.287,-402.029,-408.232,0.000,-403.449,-405.046,-406.982,-6.480,-544.798,-289.718,14.557,12.956,-20.054
82392.690,300.653,0.955,15.120,109.125,106.557,-409.151,-407.091,-404.689,-404.126,-403.824,-407.357,-408.201,-407.546,-405.230,-403.913,-400.974,-408.869,0.105,-402.717,-404.838,-407.207,-6.480,-544.798,-289.718,14.557,12.972,-20.075
82380.596,300.651,0.955,15.121,109.125,106.717,-409.583,-406.533,-404.689,-404.335,-402.961,-407.980,-407.881,-407.118,-405.565,-403.808,-401.923,-408.125,0.209,-403.553,-404.631,-407.994,-6.470,-544.798,-289.718,14.557,12.939,-20.054
82376.565,300.653,0.955,15.121,109.125,106.877,-409.259,-405.976,-405.116,-404.126,-403.285,-406.838,-408.949,-407.546,-405.454,-404.329,-401.713,-408.444,0.314,-403.658,-405.460,-406.531,-6.501,-544.798,-289.718,14.557,12.939,-20.064
82392.690,300.653,0.955,15.120,109.125,106.557,-410.015,-406.087,-404.795,-404.544,-403.824,-407.150,-408.308,-407.868,-406.123,-403.704,-402.345,-408.656,0.628,-403.449,-405.149,-406.756,-6.501,-544.798,-289.718,14.557,12.939,-20.054
82388.659,300.653,0.955,15.115,109.046,106.397,-409.042,-406.868,-404.902,-404.231,-404.148,-407.461,-408.415,-407.225,-406.123,-403.808,-401.818,-409.718,0.419,-403.240,-405.771,-406.756,-6.501,-544.798,-289.718,14.557,12.956,-20.054
82384.628,300.654,0.955,15.126,109.204,106.397,-408.826,-406.310,-404.902,-403.604,-402.853,-407.876,-408.095,-407.332,-405.454,-403.913,-401.923,-408.232,0.524,-403.240,-404.838,-407.206,-6.490,-544.798,-289.718,14.557,12.956,-20.054
82392.690,300.653,0.955,15.114,109.046,106.557,-408.934,-405.976,-405.223,-403.709,-403.393,-406.631,-408.522,-407.975,-405.230,-404.329,-401.818,-408.550,0.419,-404.180,-405.564,-406.868,-6.511,-544.798,-289.718,14.557,12.956,-20.054
82400.753,300.651,0.955,15.113,109.046,106.557,-410.340,-406.422,-404.261,-405.066,-403.716,-407.253,-407.988,-408.082,-406.123,-403.496,-402.345,-408.550,0.733,-403.031,-404.527,-406.418,-6.490,-544.798,-289.718,14.557,12.972,-20.054
82392.690,300.651,0.955,15.120,109.125,106.557,-408.934,-407.537,-405.009,-404.439,-403.716,-407.565,-408.095,-407.439,-406.123,-403.704,-401.080,-408.869,0.419,-402.717,-404.942,-406.756,-6.501,-544.798,-289.718,14.557,12.956,-20.064
